EmployeeCode,NoOfDays,StartDate,EndDate,LeaveTypeCode,LeaveTypeName
1,1.0,2024-10-31,2024-10-31,1.0,Annual Leave
1,1.0,2024-10-02,2024-10-02,1.0,Annual Leave
1,4.0,2024-10-07,2024-10-10,1.0,Annual Leave
1,0.5,2024-09-13,2024-09-13,1.0,Annual Leave
1,0.5,2024-09-12,2024-09-12,2.0,Casual Leave
1,1.0,2024-10-16,2024-10-16,1.0,Annual Leave
1,1.0,2024-11-29,2024-11-29,1.0,Annual Leave
1,1.0,2024-12-19,2024-12-19,7.0,Day Off Leave
1,1.0,2024-12-12,2024-12-12,1.0,Annual Leave
1,0.5,2024-12-13,2024-12-13,1.0,Annual Leave
1,1.0,2025-02-07,2025-02-07,1.0,Annual Leave
173862,,,,,
182182,,,,,
182183,,,,,
182184,,,,,
182185,,,,,
182186,,,,,
182187,,,,,
182188,,,,,
182189,,,,,
182190,,,,,
182191,,,,,
182192,,,,,
182193,,,,,
182194,,,,,
182195,,,,,
182196,,,,,
182197,,,,,
182198,,,,,
182199,,,,,
182200,,,,,
182203,,,,,
182204,,,,,
182205,,,,,
182206,,,,,
182207,,,,,
182208,84.0,2024-11-14,2025-02-27,5.0,Maternity Leave
182209,1.0,2024-12-05,2024-12-05,1.0,Annual Leave
182209,1.0,2024-10-21,2024-10-21,1.0,Annual Leave
182209,0.5,2024-11-04,2024-11-04,1.0,Annual Leave
182209,1.0,2024-11-01,2024-11-01,13.0,No Pay Leave
182209,0.5,2024-10-31,2024-10-31,1.0,Annual Leave
182209,1.0,2024-11-19,2024-11-19,7.0,Day Off Leave
182209,0.5,2024-12-25,2024-12-25,1.0,Annual Leave
182210,84.0,2024-12-16,2025-04-17,5.0,Maternity Leave
182210,1.0,2024-10-29,2024-10-29,7.0,Day Off Leave
182212,,,,,
182213,0.5,2024-10-21,2024-10-21,1.0,Annual Leave
182214,,,,,
182215,0.5,2024-10-25,2024-10-25,1.0,Annual Leave
182215,0.5,2024-10-22,2024-10-22,1.0,Annual Leave
182215,0.5,2024-10-21,2024-10-21,13.0,No Pay Leave
182215,0.5,2024-11-04,2024-11-04,13.0,No Pay Leave
182215,0.5,2024-11-05,2024-11-05,16.0,Unauthorized leave 
182215,0.5,2024-11-06,2024-11-06,16.0,Unauthorized leave 
182215,0.5,2024-11-07,2024-11-07,1.0,Annual Leave
182215,0.5,2024-11-07,2024-11-07,13.0,No Pay Leave
182215,0.5,2024-11-08,2024-11-08,13.0,No Pay Leave
182215,0.5,2024-11-08,2024-11-08,1.0,Annual Leave
182215,0.5,2024-11-11,2024-11-11,13.0,No Pay Leave
182215,0.5,2024-11-11,2024-11-11,16.0,Unauthorized leave 
182215,0.5,2024-11-12,2024-11-12,16.0,Unauthorized leave 
182215,0.5,2024-11-12,2024-11-12,13.0,No Pay Leave
182215,0.5,2024-11-13,2024-11-13,1.0,Annual Leave
182215,0.5,2024-11-13,2024-11-13,16.0,Unauthorized leave 
182215,0.5,2024-11-14,2024-11-14,16.0,Unauthorized leave 
182215,0.5,2024-11-14,2024-11-14,1.0,Annual Leave
182217,1.0,2024-11-15,2024-11-15,1.0,Annual Leave
182217,1.0,2024-11-11,2024-11-11,13.0,No Pay Leave
182217,1.0,2024-11-12,2024-11-12,16.0,Unauthorized leave 
182217,1.0,2024-11-19,2024-11-19,7.0,Day Off Leave
182223,,,,,
182224,2.0,2024-11-19,2024-11-20,1.0,Annual Leave
182225,,,,,
182226,,,,,
182227,1.0,2024-12-31,2024-12-31,16.0,Unauthorized leave 
182228,,,,,
182231,,,,,
182232,,,,,
182233,,,,,
182234,,,,,
182236,1.0,2025-01-04,2025-01-04,16.0,Unauthorized leave 
182236,1.0,2024-12-31,2024-12-31,16.0,Unauthorized leave 
182236,1.0,2025-01-01,2025-01-01,16.0,Unauthorized leave 
182236,1.0,2025-01-02,2025-01-02,16.0,Unauthorized leave 
182236,1.0,2024-12-27,2024-12-27,16.0,Unauthorized leave 
182236,1.0,2024-12-30,2024-12-30,16.0,Unauthorized leave 
182236,1.0,2025-01-03,2025-01-03,16.0,Unauthorized leave 
182236,1.0,2025-01-06,2025-01-06,16.0,Unauthorized leave 
182236,1.0,2025-01-07,2025-01-07,16.0,Unauthorized leave 
182236,1.0,2025-01-08,2025-01-08,16.0,Unauthorized leave 
182236,1.0,2025-01-09,2025-01-09,16.0,Unauthorized leave 
182237,1.0,2025-01-16,2025-01-16,16.0,Unauthorized leave 
182240,,,,,
182241,1.0,2025-01-20,2025-01-20,7.0,Day Off Leave
182242,,,,,
182243,,,,,
182244,,,,,
182245,0.5,2025-01-16,2025-01-16,1.0,Annual Leave
182245,1.0,2025-01-09,2025-01-09,1.0,Annual Leave
182247,,,,,
182248,,,,,
182250,,,,,
182251,,,,,
182253,1.0,2025-01-10,2025-01-10,1.0,Annual Leave
182253,1.0,2025-01-15,2025-01-15,1.0,Annual Leave
182253,1.0,2024-12-27,2024-12-27,13.0,No Pay Leave
182254,1.0,2025-01-15,2025-01-15,1.0,Annual Leave
182255,,,,,
182256,1.0,2025-01-06,2025-01-06,2.0,Casual Leave
182257,,,,,
182259,1.0,2025-01-03,2025-01-03,16.0,Unauthorized leave 
182260,,,,,
182261,1.0,2024-12-27,2024-12-27,13.0,No Pay Leave
182262,,,,,
182263,,,,,
182264,1.0,2025-01-10,2025-01-10,1.0,Annual Leave
182265,,,,,
182267,1.0,2024-12-27,2024-12-27,7.0,Day Off Leave
182268,,,,,
182269,,,,,
182270,,,,,
182271,,,,,
182272,,,,,
182274,1.0,2025-01-18,2025-01-18,16.0,Unauthorized leave 
182274,1.0,2024-12-31,2024-12-31,16.0,Unauthorized leave 
182274,1.0,2025-01-15,2025-01-15,16.0,Unauthorized leave 
182274,1.0,2025-01-16,2025-01-16,16.0,Unauthorized leave 
182274,1.0,2025-01-17,2025-01-17,16.0,Unauthorized leave 
182274,1.0,2025-01-20,2025-01-20,16.0,Unauthorized leave 
182275,,,,,
182276,,,,,
182278,,,,,
182279,,,,,
182280,,,,,
182282,1.0,2024-12-26,2024-12-26,7.0,Day Off Leave
182282,1.0,2025-01-10,2025-01-10,7.0,Day Off Leave
182283,1.0,2025-01-16,2025-01-16,16.0,Unauthorized leave 
182283,1.0,2024-12-24,2024-12-24,16.0,Unauthorized leave 
182284,,,,,
182286,1.0,2025-01-07,2025-01-07,16.0,Unauthorized leave 
182287,1.0,2025-01-01,2025-01-01,16.0,Unauthorized leave 
182288,,,,,
182289,1.0,2025-01-17,2025-01-17,7.0,Day Off Leave
182289,1.0,2024-12-27,2024-12-27,7.0,Day Off Leave
182289,1.0,2025-01-03,2025-01-03,7.0,Day Off Leave
182290,,,,,
182291,,,,,
182292,2.0,2025-01-15,2025-01-16,2.0,Casual Leave
182293,1.0,2024-12-31,2024-12-31,16.0,Unauthorized leave 
182294,,,,,
182295,1.0,2025-01-16,2025-01-16,16.0,Unauthorized leave 
182296,1.0,2025-01-07,2025-01-07,1.0,Annual Leave
182296,1.0,2025-01-08,2025-01-08,1.0,Annual Leave
182296,1.0,2025-01-09,2025-01-09,1.0,Annual Leave
182298,,,,,
182299,1.0,2025-01-03,2025-01-03,1.0,Annual Leave
182300,,,,,
182301,,,,,
182302,,,,,
182304,,,,,
182305,,,,,
182307,1.0,2025-01-02,2025-01-02,2.0,Casual Leave
182308,,,,,
182309,,,,,
182311,1.0,2025-01-03,2025-01-03,16.0,Unauthorized leave 
182311,1.0,2024-12-23,2024-12-23,16.0,Unauthorized leave 
182312,,,,,
182313,,,,,
182314,,,,,
182315,,,,,
182316,,,,,
182317,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182317,1.0,2024-12-24,2024-12-24,1.0,Annual Leave
182318,,,,,
182319,,,,,
182320,1.0,2024-12-24,2024-12-24,1.0,Annual Leave
182320,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182320,1.0,2025-01-17,2025-01-17,16.0,Unauthorized leave 
182321,,,,,
182322,,,,,
182323,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182323,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182323,1.0,2025-01-16,2025-01-16,2.0,Casual Leave
182324,1.0,2024-12-27,2024-12-27,16.0,Unauthorized leave 
182324,1.0,2024-12-24,2024-12-24,13.0,No Pay Leave
182324,1.0,2024-12-26,2024-12-26,13.0,No Pay Leave
182325,1.0,2025-01-03,2025-01-03,1.0,Annual Leave
182326,1.0,2025-01-02,2025-01-02,2.0,Casual Leave
182326,1.0,2025-01-20,2025-01-20,16.0,Unauthorized leave 
182327,1.0,2025-01-16,2025-01-16,16.0,Unauthorized leave 
182327,1.0,2025-01-15,2025-01-15,16.0,Unauthorized leave 
182327,1.0,2024-12-23,2024-12-23,16.0,Unauthorized leave 
182328,1.0,2025-01-16,2025-01-16,7.0,Day Off Leave
182328,1.0,2025-01-09,2025-01-09,7.0,Day Off Leave
182328,1.0,2025-01-02,2025-01-02,7.0,Day Off Leave
182330,,,,,
182331,,,,,
182333,1.0,2025-01-10,2025-01-10,2.0,Casual Leave
182334,1.0,2024-12-24,2024-12-24,1.0,Annual Leave
182335,,,,,
182337,,,,,
182338,1.0,2025-01-09,2025-01-09,1.0,Annual Leave
182339,1.0,2025-01-17,2025-01-17,16.0,Unauthorized leave 
182340,1.0,2024-12-27,2024-12-27,13.0,No Pay Leave
182341,1.0,2024-12-27,2024-12-27,16.0,Unauthorized leave 
182342,0.5,2025-01-09,2025-01-09,2.0,Casual Leave
182343,,,,,
182344,,,,,
182345,,,,,
182346,,,,,
182349,,,,,
182350,,,,,
182351,,,,,
182352,1.0,2024-12-27,2024-12-27,13.0,No Pay Leave
182353,,,,,
182354,,,,,
182355,,,,,
182356,,,,,
182357,,,,,
182358,,,,,
182359,,,,,
182360,,,,,
182361,,,,,
182362,,,,,
182363,,,,,
182364,1.0,2025-01-15,2025-01-15,2.0,Casual Leave
182364,1.0,2024-12-26,2024-12-26,16.0,Unauthorized leave 
182364,1.0,2025-01-06,2025-01-06,1.0,Annual Leave
182364,1.0,2025-01-03,2025-01-03,1.0,Annual Leave
182364,1.0,2024-12-31,2024-12-31,2.0,Casual Leave
182364,1.0,2025-01-01,2025-01-01,2.0,Casual Leave
182364,1.0,2025-01-02,2025-01-02,2.0,Casual Leave
182365,,,,,
182366,,,,,
182367,,,,,
182368,,,,,
182369,,,,,
182370,,,,,
182371,,,,,
182372,,,,,
182373,,,,,
182374,,,,,
182375,,,,,
182376,,,,,
182377,1.0,2025-01-10,2025-01-10,2.0,Casual Leave
182378,,,,,
182379,,,,,
182380,1.0,2025-01-08,2025-01-08,2.0,Casual Leave
182380,1.0,2025-01-20,2025-01-20,2.0,Casual Leave
182381,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182381,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182382,,,,,
182383,,,,,
182384,,,,,
182385,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182386,,,,,
182387,1.0,2025-01-10,2025-01-10,1.0,Annual Leave
182388,,,,,
182389,,,,,
182390,0.5,2024-12-30,2024-12-30,2.0,Casual Leave
182390,0.5,2024-12-23,2024-12-23,2.0,Casual Leave
182391,,,,,
182392,,,,,
182393,,,,,
182394,,,,,
182395,,,,,
182396,,,,,
182397,,,,,
182398,1.0,2024-12-26,2024-12-26,16.0,Unauthorized leave 
182399,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182400,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182400,1.0,2025-01-03,2025-01-03,2.0,Casual Leave
182401,1.0,2024-12-23,2024-12-23,2.0,Casual Leave
182402,,,,,
182403,,,,,
182404,1.0,2025-01-17,2025-01-17,2.0,Casual Leave
182405,,,,,
182406,,,,,
182407,,,,,
182408,,,,,
182409,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182409,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182409,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182410,,,,,
182411,,,,,
182412,,,,,
182413,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182413,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182414,,,,,
182415,0.5,2025-01-20,2025-01-20,2.0,Casual Leave
182416,,,,,
182417,,,,,
182418,,,,,
182419,,,,,
182420,,,,,
182421,,,,,
182422,,,,,
182423,,,,,
182424,,,,,
182425,,,,,
182426,,,,,
182427,,,,,
182428,0.5,2024-12-31,2024-12-31,1.0,Annual Leave
182428,1.0,2025-01-16,2025-01-16,1.0,Annual Leave
182428,0.5,2024-12-30,2024-12-30,1.0,Annual Leave
182428,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182429,1.0,2025-01-16,2025-01-16,2.0,Casual Leave
182430,1.0,2025-01-09,2025-01-09,2.0,Casual Leave
182431,,,,,
182432,,,,,
182433,1.0,2024-12-31,2024-12-31,1.0,Annual Leave
182433,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182434,,,,,
182435,1.0,2025-01-10,2025-01-10,2.0,Casual Leave
182436,,,,,
182437,,,,,
182438,,,,,
182439,,,,,
182440,1.0,2024-12-30,2024-12-30,2.0,Casual Leave
182441,,,,,
182442,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182443,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182444,,,,,
182445,1.0,2024-12-23,2024-12-23,2.0,Casual Leave
182445,1.0,2024-12-26,2024-12-26,13.0,No Pay Leave
182446,,,,,
182447,1.0,2024-12-23,2024-12-23,16.0,Unauthorized leave 
182447,1.0,2024-12-26,2024-12-26,16.0,Unauthorized leave 
182447,1.0,2024-12-24,2024-12-24,16.0,Unauthorized leave 
182447,1.0,2024-12-27,2024-12-27,16.0,Unauthorized leave 
182447,1.0,2024-12-30,2024-12-30,16.0,Unauthorized leave 
182447,1.0,2025-01-01,2025-01-01,16.0,Unauthorized leave 
182447,1.0,2025-01-02,2025-01-02,16.0,Unauthorized leave 
182447,1.0,2024-12-31,2024-12-31,16.0,Unauthorized leave 
182447,1.0,2025-01-03,2025-01-03,16.0,Unauthorized leave 
182447,1.0,2025-01-06,2025-01-06,16.0,Unauthorized leave 
182448,,,,,
182449,0.5,2025-01-07,2025-01-07,2.0,Casual Leave
182449,1.0,2025-01-08,2025-01-08,2.0,Casual Leave
182449,0.5,2024-12-30,2024-12-30,2.0,Casual Leave
182449,0.5,2024-12-26,2024-12-26,2.0,Casual Leave
182450,,,,,
182451,,,,,
182452,,,,,
182453,,,,,
182454,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182455,,,,,
182456,,,,,
